annotation_gene_id	structural_hit_id	structural_hit_name	tm_score	probability	evidence_source	notes	tool	tool_version	database	database_version	command	run_date	input_checksum	output_checksum
phagehostlearn_2024_phage_K23PH08C2|prodigal_00100	protein357834	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=CVGFNALW_CDS_0110; feature_type=tail_fiber; annotation_confidence=low; evalue=2.612e-18; query_coverage=0.69; target_coverage=0.75; prostt5_confidence=45.52999877929688	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	0702b9552ae9a5577a484d1d15e45a6c87dfe439ab6a6e6d68f14d5e5c7c80e8
phagehostlearn_2024_phage_K23PH08C2|prodigal_00103	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=CVGFNALW_CDS_0113; feature_type=baseplate; annotation_confidence=high; evalue=1.310e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.75	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	89181f355ab8fb0aafc754967d905a0778cac51de2e4eb6123d6e6f2f50de092
phagehostlearn_2024_phage_K23PH08C2|prodigal_00107	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=CVGFNALW_CDS_0117; feature_type=tail_fiber; annotation_confidence=high; evalue=6.750e-26; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=54.68999862670898	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	f3056e1d208be35a2ca9ad2f95841f539c2be20489b235a6066c49b222bfc63f
phagehostlearn_2024_phage_K45PH128C2|prodigal_00109	protein476718	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=SVOSAWYX_CDS_0132; feature_type=tail_fiber; annotation_confidence=high; evalue=7.334e-25; query_coverage=0.86; target_coverage=0.95; prostt5_confidence=45.66999816894531	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	ba96e9e6a11984de02e726547b03234342395e31699c99dae56edef469ecffc1
phagehostlearn_2024_phage_K45PH128C2|prodigal_00111	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=SVOSAWYX_CDS_0135; feature_type=baseplate; annotation_confidence=high; evalue=9.711e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=49.209999084472656	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	39c41f5fa19413b901bf8523d5eeeced4a85dd890465cf06c81ef9b109937cd1
phagehostlearn_2024_phage_K45PH128C2|prodigal_00117	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=SVOSAWYX_CDS_0141; feature_type=tail_fiber; annotation_confidence=high; evalue=5.770e-27; query_coverage=0.99; target_coverage=0.99; prostt5_confidence=53.86000061035156	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	f5a610ac0eff920d8dbbc9b81d809e1a5a66b7737ad28d58d096fd384511a3af
phagehostlearn_2024_phage_K54lambda1|prodigal_00093	protein357834	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=DPUOTRZH_CDS_0100; feature_type=tail_fiber; annotation_confidence=low; evalue=3.124e-18; query_coverage=0.69; target_coverage=0.75; prostt5_confidence=45.880001068115234	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	9b422e3967bbb2644b78e854ebc386595a951afa0ea2630e306a2d33467fe073
phagehostlearn_2024_phage_K54lambda1|prodigal_00096	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=DPUOTRZH_CDS_0104; feature_type=baseplate; annotation_confidence=high; evalue=3.077e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.68999862670898	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	a09af53a83c610b0c44809fca8d4d517a868b371f52361aa4cde99e1dbc80bbb
phagehostlearn_2024_phage_K54lambda1|prodigal_00100	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=DPUOTRZH_CDS_0108; feature_type=tail_fiber; annotation_confidence=high; evalue=5.220e-26; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=54.75	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	1acbd0892938a2239f773739dd15677d7e114d18ce244e7a0115e319d26c8087
phagehostlearn_2024_phage_K56PH164C1|prodigal_00004	singleton39511	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=OMPAXYCM_CDS_0004; feature_type=tail_fiber; annotation_confidence=high; evalue=1.343e-15; query_coverage=0.86; target_coverage=0.86; prostt5_confidence=36.18999862670898	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	0eb7e465f794b6b500d798b031acb69140a6fb55a73a8aabeda62d6b8e7bcd02
phagehostlearn_2024_phage_K58PH129C2|prodigal_00048	envhog_32Aac	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=LOPVSROE_CDS_0055; feature_type=tailspike; annotation_confidence=medium; evalue=8.202e-20; query_coverage=1.0; target_coverage=0.76; prostt5_confidence=53.06999969482422	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	be3f0c5d44a7d25a880a69878b4b7ac6512e23043706b69f5857607cd0204272
phagehostlearn_2024_phage_K74PH129C2|prodigal_00011	envhog_1kegQ	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=QOWHMEUG_CDS_0011; feature_type=tailspike; annotation_confidence=medium; evalue=1.357e-23; query_coverage=0.98; target_coverage=0.79; prostt5_confidence=50.040000915527344	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	22512eccd6b667090f1bcdd5a32eb54456629d88056b59e818ca543231d634a9
