record_type	genome_id	accession	source	isolation_host	host_species	host_strain	country	year	phage_lifestyle	genome_length	gc_percent	K_type	O_type	ST	AMR_markers	virulence_markers	raw_sequence_path	notes
host	phagehostlearn_2024_host_205KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	205KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/205KP-HG.fasta	source_id=205KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/205KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_2164	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	2164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/2164.fasta	source_id=2164; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/2164.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_218KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	218KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/218KP-HG.fasta	source_id=218KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/218KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_225KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	225KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/225KP-HG.fasta	source_id=225KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/225KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_228	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/228.fasta	source_id=228; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/228.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_234KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	234KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/234KP-HG.fasta	source_id=234KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/234KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_242KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	242KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/242KP-HG.fasta	source_id=242KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/242KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_245	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/245.fasta	source_id=245; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/245.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_255KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	255KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/255KP-HG.fasta	source_id=255KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/255KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_268KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	268KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/268KP-HG.fasta	source_id=268KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/268KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_33KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	33KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/33KP-HG.fasta	source_id=33KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/33KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_34KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	34KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/34KP-HG.fasta	source_id=34KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/34KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_406	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/406.fasta	source_id=406; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/406.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_42KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	42KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/42KP-HG.fasta	source_id=42KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/42KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_48KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	48KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/48KP-HG.fasta	source_id=48KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/48KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_52KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	52KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/52KP-HG.fasta	source_id=52KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/52KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_62KP-HG	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	62KP-HG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/62KP-HG.fasta	source_id=62KP-HG; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/62KP-HG.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
host	phagehostlearn_2024_host_779	NA	PhageHostLearn_2024_host_benchmark	NA	Klebsiella pneumoniae species complex	779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	data/metadata/external/phagehostlearn/klebsiella_genomes.zip::fasta_files/779.fasta	source_id=779; source_study=phagehostlearn_2024; source_reference=https://doi.org/10.5281/zenodo.11061100; https://doi.org/10.1038/s41467-024-48675-6; benchmark_entity=true; review_status=reviewed; host genome sequence is referenced through reviewed klebsiella_genomes.zip member when host_archive_member is present and is not unpacked into data/raw; K/O/ST/AMR/virulence are supplied by separate production evidence tables when available; enabled as source-identity host for assay validation; review_scope=source_identity_only; review_basis=phagehostlearn_matrix_locibase_and_host_archive_member; review_limitations=no_KO_ST_AMR_virulence_review_no_productive_infection_claim; host_archive_member=fasta_files/779.fasta; Imported reviewed source-identity rows from the PhageHostLearn benchmark host export; K/O/ST/AMR/virulence remain unreviewed unless separate evidence is supplied.
